airport name,airport,day,month,year,mean temp,mean wind speed,rain,snow,thunder,tornado
Hartsfield Jackson Atlanta International Airport,ATL,16,9,2008,72,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,9,2008,66,9,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,9,2008,74,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,9,2008,72,12,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,9,2008,70,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,9,2008,68,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,22,9,2008,73,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,23,9,2008,72,12,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,9,2008,68,13,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,9,2008,69,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,9,2008,70,10,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,27,9,2008,68,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,9,2008,74,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,29,9,2008,76,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,30,9,2008,74,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,1,10,2008,65,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,10,2008,62,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,3,10,2008,69,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,4,10,2008,71,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,5,10,2008,71,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,6,10,2008,71,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,7,10,2008,70,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,8,10,2008,68,10,1,0,1,0
Hartsfield Jackson Atlanta International Airport,ATL,9,10,2008,69,10,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,10,10,2008,71,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,11,10,2008,72,18,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,12,10,2008,70,19,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,13,10,2008,70,13,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,14,10,2008,71,5,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,15,10,2008,70,2,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,16,10,2008,72,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,17,10,2008,63,6,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,18,10,2008,58,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,19,10,2008,58,8,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,20,10,2008,55,3,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,21,10,2008,59,7,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,22,10,2008,60,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,23,10,2008,56,17,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,24,10,2008,51,12,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,25,10,2008,58,10,1,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,26,10,2008,56,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,27,10,2008,50,16,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,28,10,2008,43,11,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,29,10,2008,46,9,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,30,10,2008,52,6,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,31,10,2008,54,2,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,1,11,2008,57,4,0,0,0,0
Hartsfield Jackson Atlanta International Airport,ATL,2,11,2008,58,4,0,0,0,0
